applied_trust,arm,clip_frac,delta_abs,delta_nonzero,ff_abs,g3_depth,harm,peer_abs,reached,sat_frac,speed,sweep,track_err,u_err,u_mean
0.30000001192092896,0.99,0.0008958333055488765,0.19603224098682404,1.0,0.00018522536265663803,,0.35538896918296814,0.0012643556110560894,0.24185416102409363,0.26510417461395264,0.17816564440727234,mu,0.5428721308708191,0.003999409265816212,0.35538896918296814
0.30000001192092896,0.995,0.0008333333535119891,0.19601093232631683,1.0,0.0001852254063123837,,0.35538914799690247,0.0012381109409034252,0.24183332920074463,0.26516667008399963,0.17816540598869324,mu,0.5428736209869385,0.004070029128342867,0.35538914799690247
0.2962687611579895,0.999,0.0008333333535119891,0.1959831714630127,1.0,0.00018522446043789387,,0.355389803647995,0.0011858438374474645,0.24183332920074463,0.26518750190734863,0.17816561460494995,mu,0.542872965335846,0.004179883282631636,0.355389803647995
0.29164376854896545,0.9995,0.0008541666902601719,0.19598042964935303,1.0,0.00018522435857448727,,0.35539013147354126,0.00117295456584543,0.24181249737739563,0.26524999737739563,0.17816577851772308,mu,0.5428727269172668,0.004199209623038769,0.35539013147354126
0.28536874055862427,0.9999,0.0008750000270083547,0.1959819793701172,1.0,0.00018522430036682636,,0.35539036989212036,0.001156424405053258,0.24181249737739563,0.26518750190734863,0.17816589772701263,mu,0.5428729057312012,0.004215823020786047,0.35539036989212036
0.30000001192092896,pact,0.0008958333055488765,0.19603224098682404,1.0,0.00018522536265663803,,0.35538896918296814,0.0012643556110560894,0.24185416102409363,0.26510417461395264,0.17816564440727234,ablation,0.5428721308708191,0.003999409265816212,0.35538896918296814
0.30000001192092896,r=2,0.0008333333535119891,0.19603410363197327,1.0,0.0001852261193562299,,0.3553890287876129,0.0012773083290085196,0.24187499284744263,0.26524999737739563,0.17816592752933502,ablation,0.5428724884986877,0.004026731010526419,0.3553890287876129
0.30000001192092896,mean-preserve,0.0,0.1530677229166031,1.0,0.00014880333037581295,,0.3111782371997833,0.0011601357255131006,0.24660415947437286,0.17389583587646484,0.18043607473373413,ablation,0.5371274948120117,0.003595001297071576,0.3111782371997833
0.30000001192092896,N=12,3.125000148429535e-05,0.1895258128643036,1.0,0.00018169860413763672,,0.3511227071285248,0.001430477830581367,0.2409895807504654,0.24297916889190674,0.17909273505210876,ablation,0.5487639307975769,0.004250025376677513,0.3511227071285248
0.0,N=12 ff,7.291666406672448e-05,0.18931514024734497,1.0,0.0001817078737076372,,0.35113343596458435,0.0,0.2409791648387909,0.2421354204416275,0.1791040450334549,ablation,0.5488340854644775,0.005367749370634556,0.35113343596458435
